#Benchmark	runtime	CPU Frequency(MHz)
security_rijndael_e	356.1256484970	900000
security_sha	81.5999627310	900000
telecom_adpcm_c	29.9613999500	900000
telecom_adpcm_d	45.6800286880	900000
telecom_CRC32	144.5887750410	900000
telecom_gsm	49.4866933100	900000
automotive_bitcount	41.1259195330	900000
automotive_qsort1	54.9154613290	900000
automotive_susan_c	72.7882110720	900000
automotive_susan_e	57.1263277050	900000
automotive_susan_s	51.9813907830	900000
bzip2d	62.6711700410	900000
bzip2e	62.5663146570	900000
consumer_jpeg_c	55.9805660890	900000
consumer_jpeg_d	136.6125563780	900000
consumer_tiff2bw	76.5102965150	900000
consumer_tiff2rgba	139.0546625140	900000
consumer_tiffdither	65.4630482470	900000
consumer_tiffmedian	66.8072744480	900000
network_dijkstra	14.6282717430	900000
network_patricia	40.0881195440	900000
office_ghostscript	76.3498503000	900000
office_ispell	93.0589322190	900000
office_rsynth	28.6930847830	900000
office_stringsearch1	24.1396972100	900000
security_blowfish_d	42.6051222150	900000
security_blowfish_e	42.7276652670	900000
security_pgp_d	323.2527367400	900000
security_pgp_e	66.5275467570	900000
security_rijndael_d	354.3807540500	900000
security_rijndael_e	363.9657853050	900000
security_sha	81.1725996710	900000
telecom_adpcm_c	30.2277968790	900000
telecom_adpcm_d	45.3363822280	900000
telecom_CRC32	144.9763202330	900000
telecom_gsm	49.2615668280	900000
automotive_bitcount	40.6579721080	900000
automotive_qsort1	55.0081969920	900000
automotive_susan_c	72.7849925800	900000
automotive_susan_e	56.9650942420	900000
automotive_susan_s	51.9921097590	900000
bzip2d	62.6926147410	900000
bzip2e	62.2978342320	900000
consumer_jpeg_c	55.9597773450	900000
consumer_jpeg_d	135.8159080430	900000
consumer_tiff2bw	76.3531741680	900000
consumer_tiff2rgba	138.3366916230	900000
consumer_tiffdither	63.2305994620	900000
consumer_tiffmedian	67.0664922270	900000
network_dijkstra	14.5398187380	900000
network_patricia	40.0524366260	900000
office_ghostscript	76.3196219540	900000
office_ispell	92.0362281950	900000
office_rsynth	28.7038473410	900000
office_stringsearch1	24.0147289560	900000
security_blowfish_d	42.6497814040	900000
security_blowfish_e	42.7265463940	900000
security_pgp_d	324.3751692010	900000
security_pgp_e	66.3878511210	900000
security_rijndael_d	351.9283214390	900000
security_rijndael_e	354.6786937820	900000
security_sha	81.1913129200	900000
telecom_adpcm_c	29.9161713460	900000
telecom_adpcm_d	45.7068356680	900000
telecom_CRC32	144.5840874680	900000
telecom_gsm	49.3145817060	900000
automotive_bitcount	46.3785814560	800000
