#Timestamp	r011	r004	r014	r008	r013
1419917247007573482	100527843	31548357	28966901	80909769	31551862
1419917247511501240	100772204	28214712	28109158	66315125	28218255
1419917248015248957	100747201	27246128	27808976	61942997	27249882
1419917248518623508	100677873	27311791	27780102	62590593	27315380
1419917249022121892	100699878	30327219	28591334	75457226	30330800
1419917249525531068	100681923	29503927	28524201	71954307	29507582
1419917250028864619	100665704	27085007	27807581	61499828	27088706
1419917250532495961	100727466	27069408	27847731	60930590	27073051
1419917251036113345	100724057	29004678	28174901	70077717	29008259
1419917251539229271	100622710	31067395	28888371	78559080	31070938
1419917252042717156	100698012	27234350	27720745	62417188	27238169
1419917252546445539	100745341	27518732	27810919	63575415	27522435
1419917253049899548	100625997	26993420	27838844	60891070	27008745
1419917253553244766	100735036	31810600	28968797	81717027	31802593
1419917254056685192	100687997	27943604	28235780	64966466	27947337
1419917254560043076	100671009	26932383	27762661	60310439	26935820
1419917255063187461	100628832	27489757	27756539	63252858	27493354
1419917255567028220	100768761	29725915	28619880	72800979	29729418
1419917256069969480	100519722	29843861	28531139	73504488	29859475
1419917256572577741	100591131	27455528	27813687	62746533	27447102
1419917257075629210	100609797	27163802	27651495	61634869	27167535
1419917257578371970	100549194	28781260	27989761	69337244	28784909
1419917258081330647	100591233	30952152	28802410	78306609	30955645
1419917258584012408	100537662	26991579	27612409	61337972	26995409
1419917259086966585	100591119	26952192	27807068	60395799	26955894
1419917259589875513	100523763	27928057	27841778	65306215	27942072
1419917260092440982	100571241	31768030	29027195	81462147	31761307
1419917260595324993	100576782	27408369	27900691	62864392	27411833
1419917261097909087	100517712	26995323	27732908	60866498	26999079
1419917261600860306	100590137	27282833	27820687	62714714	27286612
1419917262103423359	100508696	30392075	28662455	75722304	30395590
1419917262606367411	100589985	29396597	28430717	71247603	29400021
1419917263108965130	100480666	26608333	27800399	59224263	26611957
1419917263612028807	100612437	27078140	27631062	61301917	27081891
1419917264114892151	100513809	29354542	28249946	71551789	29368433
1419917264617449579	100571994	30518725	28588017	76550752	30511936
1419917265120448922	100599408	27334626	27841791	62214323	27338361
1419917265623010767	100513383	27399575	27658643	62998987	27403171
1419917266126174152	100632534	27761323	28006091	64394261	27764999
1419917266628736663	100512467	31282200	28929898	79597138	31285667
1419917267131738757	100600153	27761480	27861845	64706139	27764998
1419917267634483226	100549626	27102103	27693200	61353738	27105848
1419917268137382570	100579950	27679671	27678549	64114342	27683390
1419917268640801204	100683600	31889200	28921830	82270433	31892787
1419917269143537715	100547577	28223759	28028208	66821753	28227304
1419917269646665100	100625232	27135989	27749091	61367462	27139749
1419917270149254444	100518756	27087857	27737257	61139763	27091359
1419917270652744120	100697675	29494730	28400461	72171227	29498375
1419917271155639006	100579432	30642217	28600567	76869312	30645811
1419917271658221850	100516953	26980658	27644146	61085590	26984267
1419917272161318027	100619685	27179639	28077624	61424628	27183280
1419917272664056913	100547425	26726404	27867992	59896091	26729967
1419917273166981340	100584108	31722543	28996743	81615117	31726282
1419917273669802392	100510083	28014181	28071190	65521094	28017584
1419917274172363528	100567884	27329005	27678991	62319029	27332743
1419917274675434038	100613457	26669972	27957646	59235177	26673696
1419917275177996466	100513806	29571507	28518625	72324081	29575071
1419917275680955102	100591362	30887148	28643348	78003254	30890594
1419917276183519530	100512534	27068301	27737965	61395826	27071704
1419917276686454457	100587962	27305522	27647866	62526865	27309074
1419917277189015051	100512520	27542894	27994688	63599705	27546311
1419917277692084895	100613502	31740716	29041214	81404047	31744149
1419917278195021613	100586069	27308915	27852232	62530287	27312243
1419917278697646541	100526788	27016941	27813118	61092054	27020409
1419917279200753218	100621098	27661512	27771080	63836156	27664982
1419917279703333646	100516988	31124387	28655912	79059142	31127808
1419917280206318156	100597078	28768259	28135249	68978368	28771694
1419917280710241622	100783962	27040645	27713177	61485541	27044291
1419917281212793300	100504086	27165673	27817695	61669221	27169043
1419917281715752769	100592193	29564821	28412235	72214462	29568077
1419917282218597988	100569708	30514685	28759528	76301670	30518203
1419917282727369568	101753889	27727402	27965420	64049622	27731000
1419917283230875036	100701312	27061398	27696394	61511031	27065031
1419917283734409420	100706919	27779711	27905804	64877040	27783198
1419917284237899470	100698432	31727055	29019182	81324948	31730490
1419917284741310938	100682899	27709027	27968014	64287907	27712365
1419917285244431573	100623066	27260806	27779642	62045302	27264335
1419917285748446331	100804089	27645537	27744714	63987262	27648951
1419917286251979423	100706745	30906968	28803115	78283100	30910519
1419917286755404683	100684453	28562292	28237416	68052641	28565763
1419917287258579526	100635486	27561743	27708422	63680037	27565324
1419917287768809603	101994725	27802066	28096016	63515270	27805680
1419917288272269653	100692606	29876559	28453919	73780198	29880076
1419917288775934037	100732728	30148325	28617944	74735909	30151739
1419917289279060380	100625394	26885872	27731201	60656692	26889368
1419917289782637306	100715814	27262611	27810459	62042355	27265988
1419917290286113149	100694744	28293736	28201560	66632558	28297103
1419917290789192617	100616944	31769410	29024979	81983431	31772825
1419917291292720293	100704957	27183502	27956209	61710300	27186990
1419917291796192843	100694517	27077600	27664021	61447455	27081114
1419917292299323478	100626789	27557704	27837460	63805045	27561149
1419917292807342810	101603336	30841781	29139361	77461380	30845437
1419917293310882236	100707711	28677452	28290846	68150594	28680665
1419917293814015288	100627551	27068649	27725353	61162606	27072102
1419917294317547672	100706454	27111529	27700007	61434656	27114941
1419917294821352888	100760905	29939571	28459665	74034843	29942992
1419917295324399107	100610240	30160821	28642225	75099253	30164143
1419917295827350867	100590780	27021046	27832388	61054608	27024461
1419917296330101961	100550022	27580417	27728998	63689030	27583955
1419917296832662806	100512915	28133817	27920528	66256645	28137184
1419917297335577316	100583151	31202445	28993318	79463441	31205840
1419917297838323952	100545282	27660607	27891650	64192934	27664005
1419917298341406504	100619505	27411214	27745571	62718954	27414810
1419917298843990848	100518723	27257118	27765486	62102521	27260526
1419917299347421233	100685646	31570001	28974030	81121657	31573620
1419917299850245118	100564947	28179874	28109854	66403117	28183383
1419917300352834046	100516983	27092606	27826463	61490272	27096067
1419917300856157722	100666991	26864993	27689363	60211585	26868609
1419917301358795525	100527909	29637087	28438849	72886721	29640466
1419917301861818160	100603131	30618498	28719270	76593100	30621924
1419917302364407922	100518348	26932900	27757540	60626854	26936289
1419917302867735306	100664413	27371241	27825908	62658214	27374823
1419917303370676900	100588759	27631084	28032042	63821798	27634642
1419917303873241828	100513632	31299067	28974390	79750381	31302344
1419917304376527921	100657220	27888551	27849119	65329082	27891892
1419917304879094557	100513411	27806436	27640915	64824276	27810068
1419917305382225608	100626366	27221530	27843505	61917971	27225236
1419917305885024327	100560516	31227970	28739380	79603377	31231284
1419917306387621214	100519547	28470148	28153957	67548411	28473613
1419917306890851057	100646089	26895968	27794542	60604192	26899296
1419917307393440151	100518531	27537658	27722009	62990748	27541094
1419917307896709869	100653306	29950619	28407435	74094399	29954273
1419917308399507505	100560180	29709027	28592153	72774110	29712470
1419917308902458890	100589835	27268868	27627369	62519305	27272435
1419917309405584858	100625796	27215318	27684644	62200359	27218791
1419917309908128328	100508865	28049827	28060535	65669522	28053100
1419917310411066297	100588755	32107416	28925746	83053325	32110763
1419917310913624183	100510830	27257375	27704648	62355275	27260617
1419917311416671193	100609800	27117762	27731402	61839686	27121261
1419917311919267121	100519206	27343609	27824792	62573472	27347166
1419917312422095382	100567100	31424107	28927617	80483609	31427677
1419917312925298266	100635375	28209463	28033016	66428841	28212846
1419917313428060194	100556562	27493920	27856214	62614614	27497449
1419917313931011454	100590378	26974738	27647435	61089272	26978326
1419917314433573590	100513996	30071091	28512256	74333015	30074508
1419917314936479559	100580702	30254083	28565383	75491986	30257496
1419917315439053404	100514928	27355087	27850331	62380143	27358512
1419917315942004706	100589934	27470543	27758458	62804698	27474084
1419917316444841675	100513830	27676969	27948239	64083021	27689507
1419917316947422978	100570284	31287745	28979571	79667594	31281875
1419917317450543446	100623813	27706032	27962763	64071462	27709390
1419917317953927914	100672106	27241891	27716055	62156935	27245237
1419917318457545464	100721151	27224842	27877705	61814723	27228163
1419917318961277014	100750026	31469022	28826426	80394836	31472653
1419917319464406316	100624974	28921528	28269423	69516871	28924785
1419917319967835992	100686552	27067230	27642080	61438275	27070648
1419917320471678459	100769112	27147173	27766891	61393677	27150730
1419917320974940718	100652601	29215109	28364709	70906450	29218497
1419917321478264519	100665870	30636286	28694010	76848095	30639664
1419917321981277071	100601913	27352348	27738048	62519894	27355902
1419917322483846582	100514334	26979824	27616582	61122419	26983329
1419917322986930467	100617279	28165140	27962939	66493520	28168680
1419917323489487479	100511439	31237784	28907035	79409646	31241135
1419917323992326739	100567923	26976095	27790687	60877820	26979660
1419917324495134583	100560851	27629108	27864160	63472124	27632564
1419917324997711428	100516666	27236758	27709768	62049264	27240152
1419917325500906604	100639386	31500935	28883481	80696842	31504327
1419917326003467366	100511058	28360364	28028198	67399882	28363760
1419917326506479543	100603794	27400540	27699205	62768187	27403977
1419917327009057179	100514543	27152750	27791346	61595235	27156116
1419917327512344938	100658133	29719703	30199990	71787175	29722677
1419917328015383782	100605583	26625311	30933486	57128662	26628343
1419917328518288417	100581211	24736866	29344995	51680977	24740781
1419917329021484094	100640514	27725195	29983786	58904237	27728580
1419917329523996772	100503981	36484399	32061962	80477892	36487594
1419917330026824282	100566540	43084627	34548981	99158277	43087431
1419917330529494293	100531947	34571395	31277179	74848475	34574573
1419917331032509179	100604403	33665293	31070657	72079549	33668526
1419917331535228106	100543866	35221864	31544128	76913587	35225086
1419917332037710076	100498788	43790532	34758551	101333370	43793278
1419917332540523253	100538594	34773614	31650162	75800948	34777036
1419917333043984346	100694346	35388479	31602311	76804796	35391663
1419917333547686188	100739509	35465732	31604374	77322994	35468872
1419917334051072822	100679060	41208539	33817458	93943283	41211561
1419917334554094624	100603695	39250182	33215862	88304132	39253000
1419917335057266967	100634787	32950211	30955780	70391682	32953563
1419917335560032561	100551299	32884355	30993917	70242112	32888011
1419917336062800655	100553906	30403517	31440633	67219818	30407320
1419917336565793832	100600092	38774703	34336791	90186567	38777344
1419917337068343052	100510093	35739953	31776323	78338262	35743553
1419917337571281396	100587909	33648099	31057579	72142213	33651348
1419917338073902032	100519779	36423270	31877012	79912862	36426537
1419917338576920917	100609614	41356083	33888144	94363118	41359060
1419917339079434928	100502001	39635743	33440273	89410826	39638613
1419917339582629355	100637696	33987286	31246529	73040813	33990327
1419917340085911698	100657919	35738142	31701361	78159967	35741252
1419917340588396501	100496517	34825835	31544100	75614192	34828942
1419917341091216011	100564800	44362897	34928999	102916728	44365452
1419917341593846731	100525821	35688245	31754782	77891170	35691462
1419917342096731866	100577211	34251104	31295997	73649328	34254456
1419917342599828001	100570362	35050458	31469725	76158516	35062520
1419917343102282554	100538347	35729988	34249553	84190045	35724515
1419917343605129148	100570200	32164241	31476948	69244135	32167472
1419917344107641951	100503508	36161986	31817749	79074685	36165153
1419917344610555379	100578450	36039394	31803074	78786065	36042504
1419917345113232640	100540652	40442977	33369354	91843348	40446081
1419917345616039567	100562029	40937914	33555514	93045937	40940795
1419917346118553870	100499469	33275027	30988338	71121324	33278215
1419917346621545047	100601049	33312781	31171344	71039610	33316059
1419917347124040600	100499994	36879682	32245729	81648625	36882774
1419917347626839069	99915131	43083622	34532738	99405602	43086488
1419917348129998120	100630704	34335980	31409406	73937330	34339157
1419917348632731881	100543638	34166426	31190655	73659747	34169689
1419917349135768933	100611378	34922745	31623014	75661030	34926030
1419917349638590360	100566283	45257125	35293935	105447900	45259777
1419917350141557912	100590978	32311333	31641094	71017347	32314570
1419917350644277298	100543764	26602408	30269912	56772824	26605933
1419917351147570225	100655374	34490260	31365083	74604587	34493514
1419917351650722734	100635678	39825546	33296246	90024563	39828807
1419917352153378954	100531077	40877584	33541191	92758862	40880582
1419917352656614130	100617466	35136499	31540889	76461193	35139859
1419917353159324891	100542369	35460951	31688358	77111182	35464075
1419917353662422693	100619767	36090607	32105054	79193366	36093912
1419917354165486745	100614042	43109921	34631369	99445722	43112774
1419917354668101714	100522326	33573851	31196179	72169100	33577106
1419917355171126099	100604724	35209654	31530083	76228786	35212844
1419917355673799819	100536125	33396774	31059548	71343475	33400101
1419917356176728787	100587553	43191654	34681974	99756530	43194595
1419917356679352757	100523253	37233875	32425958	82453153	37237010
1419917357182257267	100580802	33447554	30963572	71468127	33450773
1419917357685354736	100616970	29716244	30948523	64210194	29719716
1419917358188404496	100601550	34514819	31901140	79006242	34518242
1419917358691368339	100594350	39181313	33222601	88138366	39184324
1419917359194027225	100531731	35665250	31568059	77854461	35668325
1419917359697070360	100608139	34396629	31389193	74064166	34399909
1419917360199969371	100581080	36534018	32274646	80496390	36537118
1419917360702573257	100522209	44067695	35107202	101999728	44070484
1419917361205876433	100658904	34318364	31592657	73913685	34321503
1419917361708545986	100534296	34607281	31394969	74727731	34610342
1419917362211905204	100670319	34650378	31445374	74817014	34653635
1419917362714810131	100015618	41966578	34274868	96421199	41977478
1419917363217465392	100575615	36715208	32311163	81040523	36710647
1419917363720783818	100664557	35658542	31795188	77645782	35661862
1419917364223578745	100558764	34338761	31382678	74047103	34341998
1419917364726579297	100601229	37709323	33046857	84890920	37712500
1419917365229301183	100543626	32039893	33039289	74059741	32043311
1419917365732279402	100596303	32970162	30859002	69962411	32973486
1419917366235081913	100559945	34094671	31286508	73253323	34098005
1419917366737705882	100525668	36137192	32057917	79255471	36140344
1419917367240624934	100584633	42838840	34409047	98399017	42841935
1419917367743133987	100486805	34138963	31287265	73604669	34142174
1419917368246617121	100697328	32878820	30814114	70071215	32882044
1419917368749987422	100674441	35807466	31739131	78067714	35810483
1419917369253220099	100648759	44790651	34872380	104405601	44793315
1419917369756623150	100678660	36803054	32262590	81303761	36806047
1419917370259956784	100666876	34853287	31406508	75451176	34856578
1419917370762907836	100590147	34700130	31360413	75114155	34703403
1419917371266272387	100675236	41003436	33854998	93279426	41006193
1419917371774470302	101638191	38946577	33425901	87290116	38949552
1419917372277932770	100691022	27967712	30942743	61733148	27971404
1419917372781571028	100728738	29733390	30196024	62236739	29736727
1419917373284874038	100618752	38473008	32815847	86105248	38476327
1419917373787922256	100653939	42309064	34137666	97090214	42311920
1419917374291509140	100716143	33715668	31148326	72352792	33718943
1419917374794029527	100505356	34947819	31442283	75538060	34950993
1419917375297089245	100612461	35606286	31732819	77889536	35609301
1419917375799812423	100496429	44431492	35076302	103191096	44442858
1419917376302307684	100546930	34482375	31462849	74525510	34476752
1419917376805076403	100554201	34945340	31472208	76009399	34948653
1419917377307582873	100500432	35474013	31634073	77184260	35477224
1419917377810400384	100317463	41570295	33933210	95002280	41573265
1419917378312950186	100509036	37362440	32634050	83024190	37365488
1419917378815818989	100574286	33874377	31169400	72590005	33877498
1419917379318385333	100507785	35200090	31405845	76681179	35203328
1419917379821555385	100639341	27620270	31829260	62084134	27623887
1419917380324119688	100513190	41410881	33726386	94506341	41413688
1419917380827061073	100589272	35198374	31596158	76666372	35201749
1419917381329892834	100506699	34859563	31416474	75399488	34873182
1419917381832418095	100564455	33795076	31199667	72822606	33788008
1419917382335002898	100518987	43566542	34841124	100749416	43569428
1419917382837505909	99767893	34862508	31503392	76180587	34865683
1419917383340345962	100567827	35250491	31598745	76359006	35253597
1419917383843025264	100535657	34292989	31270360	74077532	34296163
1419917384345910483	100578623	39803838	33411796	89994317	39806724
1419917384848417494	100500960	40119341	33518256	90928403	40122332
1419917385351259713	100568376	33849917	31049247	72955780	33853236
1419917385853809641	100510573	35231038	31673519	76501237	35234186
